scenario,seed,fold,model,selected_threshold,train_seconds_including_inner_cv,predict_seconds,policy,ap,roc_auc,brier,log_loss,f1,precision,recall,mcc,tn,fp,fn,tp,fnr,fpr,rows,positives,unique_scores,recall_at_1pct,precision_at_1pct,lift_at_1pct,recall_at_3pct,precision_at_3pct,lift_at_3pct,recall_at_5pct,precision_at_5pct,lift_at_5pct,recall_at_10pct,precision_at_10pct,lift_at_10pct,recall_at_20pct,precision_at_20pct,lift_at_20pct
rg3,1729,0,logistic_balanced,5.594428275653735e-06,0.015456786999948235,0.00046634299997094786,fixed_0.5,0.02739106721564579,0.4838594825539996,0.18442227557114987,0.5704093480034389,0.0,0.0,0.0,-0.09353785312545769,291,92,11,0,1.0,0.2402088772845953,394,11,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rg3,1729,0,logistic_balanced,5.594428275653735e-06,0.015456786999948235,0.00046634299997094786,inner_f1,0.02739106721564579,0.4838594825539996,0.18442227557114987,0.5704093480034389,0.05459057071960298,0.02806122448979592,1.0,0.012105115007557458,2,381,0,11,0.0,0.9947780678851175,394,11,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rg3,1729,0,xgboost,0.01009349338710308,0.04076194600020244,0.0007747109998490487,fixed_0.5,0.03458948632100542,0.5431996202231189,0.027239844609001813,0.12999941591105557,0.0,0.0,0.0,0.0,383,0,11,0,1.0,0.0,394,11,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.05,1.790909090909091,0.18181818181818182,0.02531645569620253,0.906789413118527
rg3,1729,0,xgboost,0.01009349338710308,0.04076194600020244,0.0007747109998490487,inner_f1,0.03458948632100542,0.5431996202231189,0.027239844609001813,0.12999941591105557,0.056847545219638244,0.02925531914893617,1.0,0.037079962450826495,18,365,0,11,0.0,0.9530026109660574,394,11,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.05,1.790909090909091,0.18181818181818182,0.02531645569620253,0.906789413118527
rg3,1729,0,xgboost_balanced,0.0032410197891294956,0.04776142600030653,0.001349304000086704,fixed_0.5,0.11084823566198218,0.6609304533586517,0.04097004310072413,0.1731306637956189,0.13333333333333333,0.25,0.09090909090909091,0.13652431796595635,380,3,10,1,0.9090909090909091,0.007832898172323759,394,11,197,0.09090909090909091,0.25,8.954545454545455,0.09090909090909091,0.08333333333333333,2.9848484848484844,0.18181818181818182,0.1,3.581818181818182,0.36363636363636365,0.1,3.581818181818182,0.5454545454545454,0.0759493670886076,2.7203682393555813
rg3,1729,0,xgboost_balanced,0.0032410197891294956,0.04776142600030653,0.001349304000086704,inner_f1,0.11084823566198218,0.6609304533586517,0.04097004310072413,0.1731306637956189,0.05432098765432099,0.027918781725888325,1.0,0.0,0,383,0,11,0.0,1.0,394,11,197,0.09090909090909091,0.25,8.954545454545455,0.09090909090909091,0.08333333333333333,2.9848484848484844,0.18181818181818182,0.1,3.581818181818182,0.36363636363636365,0.1,3.581818181818182,0.5454545454545454,0.0759493670886076,2.7203682393555813
rg3,1729,1,dummy_prior,0.5,0.00021793999985675327,7.404799998766975e-05,fixed_0.5,0.017766497461928935,0.5,0.017476616248808266,0.08983887272248704,0.0,0.0,0.0,0.0,387,0,7,0,1.0,0.0,394,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.012658227848101266,0.7124773960216998
rg3,1729,1,dummy_prior,0.5,0.00021793999985675327,7.404799998766975e-05,inner_f1,0.017766497461928935,0.5,0.017476616248808266,0.08983887272248704,0.0,0.0,0.0,0.0,387,0,7,0,1.0,0.0,394,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.012658227848101266,0.7124773960216998
rg3,1729,1,logistic,0.11804980969975269,0.011577928999940923,0.0004404299997986527,fixed_0.5,0.02197873187966539,0.4638242894056847,0.017986010388348767,0.09764397054629792,0.0,0.0,0.0,0.0,387,0,7,0,1.0,0.0,394,7,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.025,1.407142857142857,0.14285714285714285,0.012658227848101266,0.7124773960216998
rg3,1729,1,logistic,0.11804980969975269,0.011577928999940923,0.0004404299997986527,inner_f1,0.02197873187966539,0.4638242894056847,0.017986010388348767,0.09764397054629792,0.0,0.0,0.0,-0.013620442892440467,383,4,7,0,1.0,0.0103359173126615,394,7,197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.025,1.407142857142857,0.14285714285714285,0.012658227848101266,0.7124773960216998
