scenario,model,policy,ap_mean,ap_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,mcc_mean,mcc_std,brier_mean,brier_std,recall_at_5pct_mean,recall_at_5pct_std,recall_at_10pct_mean,recall_at_10pct_std,lift_at_10pct_mean,lift_at_10pct_std
pooled,dummy_prior,fixed_0.5,0.017551022404750198,0.004431118945991958,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01726480457407713,0.00425476785826928,0.044334215167548506,0.049063243075215084,0.05127865961199295,0.055902325415339155,0.5114054232804234,0.5575855453637912
pooled,dummy_prior,inner_f1,0.017551022404750198,0.004431118945991958,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01726480457407713,0.00425476785826928,0.044334215167548506,0.049063243075215084,0.05127865961199295,0.055902325415339155,0.5114054232804234,0.5575855453637912
pooled,logistic,fixed_0.5,0.18538230272650036,0.06459352472866497,0.6980401546614077,0.07488092835591656,0.2315390129115619,0.10299922919417366,0.8333333333333334,0.3535533905932738,0.13554510123137575,0.06222525249560359,0.33056819759111256,0.14024876795764987,0.01532472589188206,0.003675343584015795,0.26945332263959715,0.08504731777218234,0.3179308618034108,0.04912808299011875,3.170120850690704,0.4904002710523774
pooled,logistic,inner_f1,0.18538230272650036,0.06459352472866497,0.6980401546614077,0.07488092835591656,0.20182837267460588,0.101467400105896,0.7822001105583195,0.4322977854714191,0.20961917530544982,0.26019393714945027,0.30326075530654806,0.14516498451172685,0.01532472589188206,0.003675343584015795,0.26945332263959715,0.08504731777218234,0.3179308618034108,0.04912808299011875,3.170120850690704,0.4904002710523774
pooled,logistic_balanced,fixed_0.5,0.16089728925938487,0.060129400441517905,0.7050254983241148,0.05686520299597825,0.06459698798844679,0.021635545586912226,0.034667047552358006,0.011789901038574739,0.49483398772614456,0.13199789135839288,0.07505091929098712,0.03634468254270452,0.16578304135622635,0.012651868609843837,0.20255771824399274,0.06319736844683563,0.2708814152441603,0.1053370532470184,2.7011819396562045,1.0511267994961635
pooled,logistic_balanced,inner_f1,0.16089728925938487,0.060129400441517905,0.7050254983241148,0.05686520299597825,0.12471496381698143,0.09833833294216643,0.2874779541446208,0.3354237592799913,0.0969648543177955,0.07640415874669683,0.1469209058091884,0.13005550106086375,0.16578304135622635,0.012651868609843837,0.20255771824399274,0.06319736844683563,0.2708814152441603,0.1053370532470184,2.7011819396562045,1.0511267994961635
pooled,xgboost,fixed_0.5,0.14514273125579685,0.07174538890535839,0.712366378757555,0.055395621427146796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016747643724255204,0.004286344599848632,0.27632674152281994,0.07619442748232813,0.3531889678948502,0.06956941974879026,3.5218204589528117,0.6949065980440102
pooled,xgboost,inner_f1,0.14514273125579685,0.07174538890535839,0.712366378757555,0.055395621427146796,0.1549414958314761,0.0729329739794835,0.13638629888629888,0.08455733611122553,0.2702115604076389,0.19775942913432723,0.1469843088057009,0.0669302462360642,0.016747643724255204,0.004286344599848632,0.27632674152281994,0.07619442748232813,0.3531889678948502,0.06956941974879026,3.5218204589528117,0.6949065980440102
pooled,xgboost_balanced,fixed_0.5,0.10621753754611674,0.0597248382409545,0.7101450781881217,0.07926607351921368,0.11066032898377548,0.05539571493981732,0.0752110620269188,0.03830776034940244,0.22248397934672445,0.11318210949895428,0.10183804355467906,0.06407017164010236,0.048455652298469556,0.005213816755281627,0.21461360897635406,0.09981856012852902,0.28814561437110453,0.10735389607750735,2.8730480215590513,1.070702462432353
pooled,xgboost_balanced,inner_f1,0.10621753754611674,0.0597248382409545,0.7101450781881217,0.07926607351921368,0.12424622594213236,0.08197247346441773,0.15888365060656928,0.1537503576558378,0.13985800873055776,0.07699141959917939,0.11794639953614044,0.09239675090448492,0.048455652298469556,0.005213816755281627,0.21461360897635406,0.09981856012852902,0.28814561437110453,0.10735389607750735,2.8730480215590513,1.070702462432353
rg3,dummy_prior,fixed_0.5,0.021150592216582068,0.0038071065989847704,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02071934917730996,0.0036559290454493388,0.04409171075837742,0.06676946806414795,0.04409171075837742,0.06676946806414795,0.4343033509700176,0.6576792604318573
rg3,dummy_prior,inner_f1,0.021150592216582068,0.0038071065989847704,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02071934917730996,0.0036559290454493388,0.04409171075837742,0.06676946806414795,0.04409171075837742,0.06676946806414795,0.4343033509700176,0.6576792604318573
rg3,logistic,fixed_0.5,0.026476871258249213,0.009562680780023461,0.42591406080870875,0.0662081095140916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021492997124410853,0.0038423212368743336,0.038580246913580245,0.05800909299139661,0.08619929453262785,0.06582930808092355,0.8490630511463846,0.6484186845970971
rg3,logistic,inner_f1,0.026476871258249213,0.009562680780023461,0.42591406080870875,0.0662081095140916,0.027014472004524084,0.01897113516772175,0.01436159682066019,0.010125995478480051,0.4354938271604938,0.4426042149411552,-0.01943559966258681,0.037280336744629064,0.021492997124410853,0.0038423212368743336,0.038580246913580245,0.05800909299139661,0.08619929453262785,0.06582930808092355,0.8490630511463846,0.6484186845970971
rg3,logistic_balanced,fixed_0.5,0.024670093423732654,0.009830722424367278,0.41943256896539644,0.06771736903402033,0.018519993718935947,0.015427959663168837,0.009871265658426257,0.008193686913932673,0.16005291005291006,0.14974573225486673,-0.04550454545864259,0.03941009627215189,0.2103517087396106,0.02130862931910509,0.038580246913580245,0.05800909299139661,0.05445326278659612,0.06522854133452878,0.5363646384479718,0.6425011321451085
rg3,logistic_balanced,inner_f1,0.024670093423732654,0.009830722424367278,0.41943256896539644,0.06771736903402033,0.03907488213419149,0.018753256646785132,0.021815160980745443,0.011508189915330175,0.5092592592592592,0.43949196488764875,0.0015195699485603517,0.02945333176072487,0.2103517087396106,0.02130862931910509,0.038580246913580245,0.05800909299139661,0.05445326278659612,0.06522854133452878,0.5363646384479718,0.6425011321451085
rg3,xgboost,fixed_0.5,0.026365228476109774,0.02030082380565453,0.37121260227852154,0.08964874486497652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02099611281212191,0.0035370032754659313,0.013888888888888888,0.04166666666666667,0.04643658810325477,0.07212950143662875,0.45740039281705946,0.7104755891507932
rg3,xgboost,inner_f1,0.026365228476109774,0.02030082380565453,0.37121260227852154,0.08964874486497652,0.025879123168120445,0.021963592776446047,0.013449229509627719,0.011462722528211655,0.4221781305114638,0.40123269036520226,-0.016572384178858937,0.03907531565070082,0.02099611281212191,0.0035370032754659313,0.013888888888888888,0.04166666666666667,0.04643658810325477,0.07212950143662875,0.45740039281705946,0.7104755891507932
rg3,xgboost_balanced,fixed_0.5,0.03826255339023448,0.02927884331004161,0.48693303359445433,0.10679578343774326,0.03527336860670194,0.05425796293457892,0.042884990253411304,0.08341344769102048,0.054192720859387526,0.09734676158981616,0.01640860419575149,0.06378429265043108,0.05252824667459908,0.0109005190091082,0.07342071508738175,0.07324725326065036,0.14882555715889048,0.12002456057876865,1.4659317380150714,1.182241921700871
rg3,xgboost_balanced,inner_f1,0.03826255339023448,0.02927884331004161,0.48693303359445433,0.10679578343774326,0.026009825770630893,0.03420193369787184,0.015137972773791876,0.02096154185366589,0.18977072310405643,0.325364991775329,-0.004265739335995107,0.03324386054742309,0.05252824667459908,0.0109005190091082,0.07342071508738175,0.07324725326065036,0.14882555715889048,0.12002456057876865,1.4659317380150714,1.182241921700871
