scenario,seed,model,product_group,policy,ap,roc_auc,brier,log_loss,f1,precision,recall,mcc,tn,fp,fn,tp,fnr,fpr,rows,positives,unique_scores,recall_at_1pct,precision_at_1pct,lift_at_1pct,recall_at_3pct,precision_at_3pct,lift_at_3pct,recall_at_5pct,precision_at_5pct,lift_at_5pct,recall_at_10pct,precision_at_10pct,lift_at_10pct,recall_at_20pct,precision_at_20pct,lift_at_20pct
pooled,1729,logistic,all,inner_f1,0.19819506230351794,0.7321605800976283,0.014991980919553963,0.0775807179561299,0.25,1.0,0.14285714285714285,0.37510347286714535,2351,0,36,6,0.8571428571428571,0.0,2393,42,1197,0.16666666666666666,0.2916666666666667,16.618055555555557,0.23809523809523808,0.1388888888888889,7.913359788359789,0.2857142857142857,0.1,5.697619047619048,0.30952380952380953,0.05416666666666667,3.0862103174603175,0.5,0.04384133611691023,2.4979123173277666
pooled,1729,logistic,cn7,fixed_0.5,0.457294731783536,0.9111981476007488,0.009100912397930342,0.04333108115649103,0.5217391304347826,1.0,0.35294117647058826,0.5913707016836909,1194,0,11,6,0.6470588235294118,0.0,1211,17,606,0.35294117647058826,0.46153846153846156,32.87782805429865,0.47058823529411764,0.21621621621621623,15.402225755166933,0.5882352941176471,0.16393442622950818,11.67791706846673,0.7058823529411765,0.09836065573770492,7.006750241080038,0.8823529411764706,0.06172839506172839,4.397240377632534
pooled,1729,logistic,cn7,inner_f1,0.457294731783536,0.9111981476007488,0.009100912397930342,0.04333108115649103,0.5217391304347826,1.0,0.35294117647058826,0.5913707016836909,1194,0,11,6,0.6470588235294118,0.0,1211,17,606,0.35294117647058826,0.46153846153846156,32.87782805429865,0.47058823529411764,0.21621621621621623,15.402225755166933,0.5882352941176471,0.16393442622950818,11.67791706846673,0.7058823529411765,0.09836065573770492,7.006750241080038,0.8823529411764706,0.06172839506172839,4.397240377632534
pooled,1729,logistic,rg3,fixed_0.5,0.027440977429001825,0.506637856525497,0.02102758496328172,0.1126706588735264,0.0,0.0,0.0,0.0,1157,0,25,0,1.0,0.0,1182,25,591,0.04,0.08333333333333333,3.94,0.04,0.027777777777777776,1.3133333333333332,0.08,0.03333333333333333,1.576,0.08,0.01680672268907563,0.7946218487394958,0.16,0.016877637130801686,0.7979746835443038
pooled,1729,logistic,rg3,inner_f1,0.027440977429001825,0.506637856525497,0.02102758496328172,0.1126706588735264,0.0,0.0,0.0,0.0,1157,0,25,0,1.0,0.0,1182,25,591,0.04,0.08333333333333333,3.94,0.04,0.027777777777777776,1.3133333333333332,0.08,0.03333333333333333,1.576,0.08,0.01680672268907563,0.7946218487394958,0.16,0.016877637130801686,0.7979746835443038
pooled,1729,logistic_balanced,all,fixed_0.5,0.19657158147406342,0.7394118004496567,0.1667631653298063,0.4916304374699214,0.0730593607305936,0.03902439024390244,0.5714285714285714,0.09617455218170937,1760,591,18,24,0.42857142857142855,0.2513823904721395,2393,42,1200,0.16666666666666666,0.2916666666666667,16.618055555555557,0.21428571428571427,0.125,7.12202380952381,0.23809523809523808,0.08333333333333333,4.748015873015873,0.40476190476190477,0.07083333333333333,4.035813492063492,0.5714285714285714,0.05010438413361169,2.854756934088876
pooled,1729,logistic_balanced,all,inner_f1,0.19657158147406342,0.7394118004496567,0.1667631653298063,0.4916304374699214,0.125,0.18181818181818182,0.09523809523809523,0.12050015451084954,2333,18,38,4,0.9047619047619048,0.0076563164610803916,2393,42,1200,0.16666666666666666,0.2916666666666667,16.618055555555557,0.21428571428571427,0.125,7.12202380952381,0.23809523809523808,0.08333333333333333,4.748015873015873,0.40476190476190477,0.07083333333333333,4.035813492063492,0.5714285714285714,0.05010438413361169,2.854756934088876
pooled,1729,logistic_balanced,cn7,fixed_0.5,0.45879993683460907,0.9237116957335698,0.07234970449564306,0.2389364396095949,0.1780821917808219,0.10077519379844961,0.7647058823529411,0.2545682198272697,1078,116,4,13,0.23529411764705882,0.09715242881072027,1211,17,606,0.35294117647058826,0.46153846153846156,32.87782805429865,0.5294117647058824,0.24324324324324326,17.3275039745628,0.6470588235294118,0.18032786885245902,12.845708775313405,0.7647058823529411,0.10655737704918032,7.5906460945033745,0.9411764705882353,0.06584362139917696,4.690389736141371
pooled,1729,logistic_balanced,cn7,inner_f1,0.45879993683460907,0.9237116957335698,0.07234970449564306,0.2389364396095949,0.24242424242424243,0.25,0.23529411764705882,0.23207889803493226,1182,12,13,4,0.7647058823529411,0.010050251256281407,1211,17,606,0.35294117647058826,0.46153846153846156,32.87782805429865,0.5294117647058824,0.24324324324324326,17.3275039745628,0.6470588235294118,0.18032786885245902,12.845708775313405,0.7647058823529411,0.10655737704918032,7.5906460945033745,0.9411764705882353,0.06584362139917696,4.690389736141371
pooled,1729,logistic_balanced,rg3,fixed_0.5,0.03365734149989632,0.4939152981849611,0.2634930308714067,0.750524203467261,0.043052837573385516,0.02263374485596708,0.44,0.008613509886225845,682,475,14,11,0.56,0.4105445116681072,1182,25,594,0.04,0.08333333333333333,3.94,0.04,0.027777777777777776,1.3133333333333332,0.04,0.016666666666666666,0.788,0.12,0.025210084033613446,1.1919327731092437,0.28,0.029535864978902954,1.3964556962025316
